inventory_date,product_id,product_name,product_category,outlet_id,outlet_name,region_name,city,opening_stock,closing_stock,available_stock,stockout_flag,days_of_supply
2024-01-01,P001,Tempra,Fever & Pain,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,118,91,91,0,9.4
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,126,90,90,0,9.4
2024-01-01,P003,Hemaviton C1000,Vitamin,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,99,60,60,0,5.1
2024-01-01,P004,Vidoran Smart,Multivitamin,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,92,68,68,0,4.8
2024-01-01,P005,Marina Skin Care,Skin Care,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,121,76,76,0,8.0
2024-01-01,P001,Tempra,Fever & Pain,O002,Bandung Health Mart,Jawa Barat,Bandung,138,99,99,0,11.0
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O002,Bandung Health Mart,Jawa Barat,Bandung,140,103,103,0,8.5
2024-01-01,P003,Hemaviton C1000,Vitamin,O002,Bandung Health Mart,Jawa Barat,Bandung,134,106,106,0,9.6
2024-01-01,P004,Vidoran Smart,Multivitamin,O002,Bandung Health Mart,Jawa Barat,Bandung,140,97,97,0,6.7
2024-01-01,P005,Marina Skin Care,Skin Care,O002,Bandung Health Mart,Jawa Barat,Bandung,109,65,65,0,4.9
2024-01-01,P001,Tempra,Fever & Pain,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,122,79,79,0,7.1
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,101,74,74,0,5.8
2024-01-01,P003,Hemaviton C1000,Vitamin,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,106,90,90,0,10.7
2024-01-01,P004,Vidoran Smart,Multivitamin,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,75,59,59,0,7.1
2024-01-01,P005,Marina Skin Care,Skin Care,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,129,90,90,0,9.0
2024-01-01,P001,Tempra,Fever & Pain,O004,Bekasi Health Mart,Jawa Barat,Bekasi,176,136,136,0,11.8
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O004,Bekasi Health Mart,Jawa Barat,Bekasi,119,76,76,0,7.4
2024-01-01,P003,Hemaviton C1000,Vitamin,O004,Bekasi Health Mart,Jawa Barat,Bekasi,93,77,77,0,9.0
2024-01-01,P004,Vidoran Smart,Multivitamin,O004,Bekasi Health Mart,Jawa Barat,Bekasi,168,139,139,0,9.6
2024-01-01,P005,Marina Skin Care,Skin Care,O004,Bekasi Health Mart,Jawa Barat,Bekasi,123,97,97,0,6.8
2024-01-01,P001,Tempra,Fever & Pain,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,158,139,139,0,11.8
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,162,117,117,0,8.2
2024-01-01,P003,Hemaviton C1000,Vitamin,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,135,110,110,0,11.1
2024-01-01,P004,Vidoran Smart,Multivitamin,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,80,49,49,0,4.9
2024-01-01,P005,Marina Skin Care,Skin Care,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,158,126,126,0,9.6
2024-01-01,P001,Tempra,Fever & Pain,O006,Surabaya Health Mart,Jawa Timur,Surabaya,124,102,102,0,9.7
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O006,Surabaya Health Mart,Jawa Timur,Surabaya,65,44,44,0,3.6
2024-01-01,P003,Hemaviton C1000,Vitamin,O006,Surabaya Health Mart,Jawa Timur,Surabaya,142,122,122,0,9.7
2024-01-01,P004,Vidoran Smart,Multivitamin,O006,Surabaya Health Mart,Jawa Timur,Surabaya,120,98,98,0,7.5
2024-01-01,P005,Marina Skin Care,Skin Care,O006,Surabaya Health Mart,Jawa Timur,Surabaya,113,68,68,0,7.0
2024-01-01,P001,Tempra,Fever & Pain,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,86,46,46,0,4.1
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,98,79,79,0,8.2
2024-01-01,P003,Hemaviton C1000,Vitamin,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,107,97,97,0,6.6
2024-01-01,P004,Vidoran Smart,Multivitamin,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,106,71,71,0,5.4
2024-01-01,P005,Marina Skin Care,Skin Care,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,113,82,82,0,6.2
2024-01-01,P001,Tempra,Fever & Pain,O008,Semarang Health Mart,Jawa Tengah,Semarang,129,118,118,0,8.1
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O008,Semarang Health Mart,Jawa Tengah,Semarang,157,128,128,0,14.6
2024-01-01,P003,Hemaviton C1000,Vitamin,O008,Semarang Health Mart,Jawa Tengah,Semarang,141,124,124,0,9.1
2024-01-01,P004,Vidoran Smart,Multivitamin,O008,Semarang Health Mart,Jawa Tengah,Semarang,102,81,81,0,6.2
2024-01-01,P005,Marina Skin Care,Skin Care,O008,Semarang Health Mart,Jawa Tengah,Semarang,123,98,98,0,7.4
2024-01-01,P001,Tempra,Fever & Pain,O009,Medan Prime Pharmacy,Sumatera,Medan,104,79,79,0,6.1
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O009,Medan Prime Pharmacy,Sumatera,Medan,136,93,93,0,8.9
2024-01-01,P003,Hemaviton C1000,Vitamin,O009,Medan Prime Pharmacy,Sumatera,Medan,136,93,93,0,7.6
2024-01-01,P004,Vidoran Smart,Multivitamin,O009,Medan Prime Pharmacy,Sumatera,Medan,116,75,75,0,8.6
2024-01-01,P005,Marina Skin Care,Skin Care,O009,Medan Prime Pharmacy,Sumatera,Medan,149,120,120,0,14.0
2024-01-01,P001,Tempra,Fever & Pain,O010,Medan Health Mart,Sumatera,Medan,143,130,130,0,10.6
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O010,Medan Health Mart,Sumatera,Medan,138,99,99,0,11.6
2024-01-01,P003,Hemaviton C1000,Vitamin,O010,Medan Health Mart,Sumatera,Medan,161,132,132,0,10.9
2024-01-01,P004,Vidoran Smart,Multivitamin,O010,Medan Health Mart,Sumatera,Medan,114,90,90,0,6.1
2024-01-01,P005,Marina Skin Care,Skin Care,O010,Medan Health Mart,Sumatera,Medan,128,91,91,0,7.3
2024-01-01,P001,Tempra,Fever & Pain,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,104,74,74,0,8.4
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,127,100,100,0,8.4
2024-01-01,P003,Hemaviton C1000,Vitamin,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,134,117,117,0,9.3
2024-01-01,P004,Vidoran Smart,Multivitamin,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,99,81,81,0,5.8
2024-01-01,P005,Marina Skin Care,Skin Care,O011,Balikpapan Prime Pharmacy,Kalimantan,Balikpapan,118,73,73,0,5.5
2024-01-01,P001,Tempra,Fever & Pain,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,108,89,89,0,7.8
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,63,32,32,0,2.6
2024-01-01,P003,Hemaviton C1000,Vitamin,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,135,107,107,0,7.1
2024-01-01,P004,Vidoran Smart,Multivitamin,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,134,113,113,0,12.3
2024-01-01,P005,Marina Skin Care,Skin Care,O012,Balikpapan Health Mart,Kalimantan,Balikpapan,162,118,118,0,13.0
2024-01-01,P001,Tempra,Fever & Pain,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,55,27,27,0,3.3
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,92,60,60,0,6.3
2024-01-01,P003,Hemaviton C1000,Vitamin,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,160,130,130,0,9.8
2024-01-01,P004,Vidoran Smart,Multivitamin,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,164,133,133,0,9.8
2024-01-01,P005,Marina Skin Care,Skin Care,O013,Makassar Prime Pharmacy,Sulawesi,Makassar,137,111,111,0,9.2
2024-01-01,P001,Tempra,Fever & Pain,O014,Makassar Health Mart,Sulawesi,Makassar,140,111,111,0,8.8
2024-01-01,P002,Bodrex Flu & Batuk,Cough & Cold,O014,Makassar Health Mart,Sulawesi,Makassar,98,62,62,0,4.9
2024-01-01,P003,Hemaviton C1000,Vitamin,O014,Makassar Health Mart,Sulawesi,Makassar,106,74,74,0,8.8
2024-01-01,P004,Vidoran Smart,Multivitamin,O014,Makassar Health Mart,Sulawesi,Makassar,152,107,107,0,11.3
2024-01-01,P005,Marina Skin Care,Skin Care,O014,Makassar Health Mart,Sulawesi,Makassar,149,138,138,0,15.5
2024-01-02,P001,Tempra,Fever & Pain,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,90,78,78,0,6.0
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,130,100,100,0,8.2
2024-01-02,P003,Hemaviton C1000,Vitamin,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,94,71,71,0,6.4
2024-01-02,P004,Vidoran Smart,Multivitamin,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,76,61,61,0,7.0
2024-01-02,P005,Marina Skin Care,Skin Care,O001,Bandung Prime Pharmacy,Jawa Barat,Bandung,112,83,83,0,7.9
2024-01-02,P001,Tempra,Fever & Pain,O002,Bandung Health Mart,Jawa Barat,Bandung,77,32,32,0,3.9
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O002,Bandung Health Mart,Jawa Barat,Bandung,133,90,90,0,9.5
2024-01-02,P003,Hemaviton C1000,Vitamin,O002,Bandung Health Mart,Jawa Barat,Bandung,127,90,90,0,7.9
2024-01-02,P004,Vidoran Smart,Multivitamin,O002,Bandung Health Mart,Jawa Barat,Bandung,138,115,115,0,8.6
2024-01-02,P005,Marina Skin Care,Skin Care,O002,Bandung Health Mart,Jawa Barat,Bandung,107,95,95,0,8.6
2024-01-02,P001,Tempra,Fever & Pain,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,123,86,86,0,6.2
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,105,73,73,0,7.0
2024-01-02,P003,Hemaviton C1000,Vitamin,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,95,65,65,0,4.6
2024-01-02,P004,Vidoran Smart,Multivitamin,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,96,82,82,0,6.6
2024-01-02,P005,Marina Skin Care,Skin Care,O003,Bekasi Prime Pharmacy,Jawa Barat,Bekasi,72,34,34,0,3.9
2024-01-02,P001,Tempra,Fever & Pain,O004,Bekasi Health Mart,Jawa Barat,Bekasi,130,94,94,0,7.0
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O004,Bekasi Health Mart,Jawa Barat,Bekasi,157,125,125,0,12.3
2024-01-02,P003,Hemaviton C1000,Vitamin,O004,Bekasi Health Mart,Jawa Barat,Bekasi,155,112,112,0,12.9
2024-01-02,P004,Vidoran Smart,Multivitamin,O004,Bekasi Health Mart,Jawa Barat,Bekasi,108,65,65,0,7.9
2024-01-02,P005,Marina Skin Care,Skin Care,O004,Bekasi Health Mart,Jawa Barat,Bekasi,118,93,93,0,6.3
2024-01-02,P001,Tempra,Fever & Pain,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,142,100,100,0,8.6
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,73,53,53,0,5.3
2024-01-02,P003,Hemaviton C1000,Vitamin,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,106,90,90,0,6.5
2024-01-02,P004,Vidoran Smart,Multivitamin,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,118,99,99,0,8.4
2024-01-02,P005,Marina Skin Care,Skin Care,O005,Surabaya Prime Pharmacy,Jawa Timur,Surabaya,148,123,123,0,9.4
2024-01-02,P001,Tempra,Fever & Pain,O006,Surabaya Health Mart,Jawa Timur,Surabaya,108,97,97,0,9.0
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O006,Surabaya Health Mart,Jawa Timur,Surabaya,144,123,123,0,8.9
2024-01-02,P003,Hemaviton C1000,Vitamin,O006,Surabaya Health Mart,Jawa Timur,Surabaya,132,103,103,0,8.9
2024-01-02,P004,Vidoran Smart,Multivitamin,O006,Surabaya Health Mart,Jawa Timur,Surabaya,126,92,92,0,8.9
2024-01-02,P005,Marina Skin Care,Skin Care,O006,Surabaya Health Mart,Jawa Timur,Surabaya,74,44,44,0,3.5
2024-01-02,P001,Tempra,Fever & Pain,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,158,125,125,0,10.8
2024-01-02,P002,Bodrex Flu & Batuk,Cough & Cold,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,129,110,110,0,8.6
2024-01-02,P003,Hemaviton C1000,Vitamin,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,103,77,77,0,6.0
2024-01-02,P004,Vidoran Smart,Multivitamin,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,117,87,87,0,6.9
2024-01-02,P005,Marina Skin Care,Skin Care,O007,Semarang Prime Pharmacy,Jawa Tengah,Semarang,130,97,97,0,8.2
